year,fips,population,per_income,employment_total
1976,47073,39.405,4550,11.395
1977,47073,40.377,4913,12.018
1978,47073,41.647,5514,13.668
1979,47073,42.622,6037,14.726
1980,47073,43.933,6207,14.116
1969,47075,19.991,2013,7.955
1970,47075,19.663,2291,7.961
1971,47075,19.88,2581,8.123
1972,47075,20.455,2679,8.471
1973,47075,20.169,3127,8.71
1974,47075,20.238,3136,8.852
1975,47075,20.101,3762,8.076
1976,47075,20.321,4115,7.988
1977,47075,20.51,4474,8.004
1978,47075,20.302,4982,8.179
1979,47075,20.299,5525,8.821
1980,47075,20.302,6264,9.198
1969,47077,17.221,2481,7.258
1970,47077,17.496,2689,7.307
1971,47077,18.225,2835,7.397
1972,47077,18.803,3174,8.025
1973,47077,19.149,3722,8.845
1974,47077,19.56,3620,8.847
1975,47077,19.976,4042,8.528
1976,47077,20.263,4536,8.852
1977,47077,20.891,4874,9.073
1978,47077,21.309,5614,9.375
1979,47077,21.51,6284,9.426
1980,47077,21.421,6414,8.467
1969,47079,23.665,2455,10.377
1970,47079,23.822,2688,10.798
1971,47079,24.472,3061,11.142
1972,47079,24.857,3513,11.808
1973,47079,25.785,3964,12.92
1974,47079,26.279,4375,13.443
1975,47079,26.207,4653,12.448
1976,47079,26.717,5307,12.989
1977,47079,27.417,5896,14.551
1978,47079,27.962,6613,15.193
1979,47079,28.305,7481,15.574
1980,47079,28.699,7703,14.859
1969,47081,12.097,2405,4.514
1970,47081,12.169,2613,4.239
1971,47081,12.538,2726,4.119
1972,47081,13.189,3089,4.611
1973,47081,13.277,3584,4.517
1974,47081,13.421,3775,4.515
1975,47081,13.601,4061,4.32
1976,47081,13.897,4632,4.523
1977,47081,14.304,4920,4.765
1978,47081,14.702,5545,4.849
1979,47081,14.902,6177,4.985
1980,47081,15.187,6573,4.746
1969,47083,5.756,2918,1.652
1970,47083,5.858,3358,1.595
1971,47083,5.866,3804,1.533
1972,47083,6.368,3358,1.68
1973,47083,6.241,3166,1.766
1974,47083,6.083,3486,1.757
1975,47083,6.362,3805,1.724
1976,47083,6.366,4258,1.814
1977,47083,6.511,5200,1.848
1978,47083,6.707,5439,1.848
1979,47083,6.536,7049,1.968
1980,47083,6.903,7414,1.984
1969,47085,13.387,2625,5.943
1970,47085,13.738,2924,6.046
1971,47085,14.461,3105,6.353
1972,47085,14.612,3324,6.876
1973,47085,14.494,3931,7.463
1974,47085,14.626,4418,7.775
1975,47085,14.988,4563,7.052
1976,47085,15.144,5416,7.753
1977,47085,15.13,6116,8.064
1978,47085,15.661,6696,8.022
1979,47085,15.678,7780,8.235
1980,47085,16,8242,8.164
1969,47087,8.245,1774,2.705
1970,47087,8.187,1969,2.815
1971,47087,8.407,2054,2.828
1972,47087,8.333,2289,2.801
1973,47087,8.507,2566,2.821
1974,47087,8.483,2823,2.592
1975,47087,8.602,3069,2.677
1976,47087,8.792,3588,2.881
1977,47087,9.005,3511,2.954
1978,47087,9.062,4124,2.92
1979,47087,9.334,4542,3.038
1980,47087,9.362,5088,3.104
1969,47089,24.574,2518,11.462
1970,47089,25.095,2462,10.223
1971,47089,25.958,2658,10.227
1972,47089,27.219,2976,11.468
1973,47089,27.226,3398,10.971
1974,47089,27.512,3708,10.857
1975,47089,27.991,3878,10.642
1976,47089,28.346,4451,11.047
1977,47089,29.877,4677,11.659
1978,47089,30.498,5473,12.583
1979,47089,30.451,6164,12.436
1980,47089,31.418,6696,12.41
1969,47091,11.52,1907,3.893
1970,47091,11.627,2147,3.939
1971,47091,11.897,2237,3.961
1972,47091,12.099,2506,4.155
1973,47091,12.402,2845,4.333
1974,47091,12.387,3239,4.685
1975,47091,12.855,3609,5.166
1976,47091,13.109,4063,5.621
1977,47091,13.442,4225,5.712
1978,47091,13.566,4686,5.882
1979,47091,13.807,4766,5.936
1980,47091,13.788,5656,5.975
1969,47093,274.465,3149,124.233
1970,47093,277.52,3427,125.526
1971,47093,284.63,3707,129.846
1972,47093,289.127,4056,137.337
1973,47093,289.981,4545,146.21
1974,47093,292.957,5018,148.598
1975,47093,299.603,5438,146.033
1976,47093,305.388,5981,152.894
1977,47093,306.881,6613,158.903
1978,47093,310.882,7452,167.136
1979,47093,316.651,8167,175.405
1980,47093,320.81,9008,177.208
1969,47095,8.08,2210,4.004
1970,47095,8.034,2295,4.104
1971,47095,7.958,2531,3.896
1972,47095,7.956,2752,3.929
1973,47095,7.93,3358,3.818
1974,47095,7.799,3306,3.729
1975,47095,7.645,4119,3.38
1976,47095,7.704,4457,3.337
1977,47095,7.693,4743,3.199
1978,47095,7.495,5065,3.07
1979,47095,7.362,5701,2.941
1980,47095,7.544,5922,2.871
1969,47097,20.472,1905,7.886
1970,47097,20.243,2345,8.58
1971,47097,20.409,2618,8.482
1972,47097,20.725,2845,9.153
1973,47097,21.779,3390,9.408
1974,47097,22.441,3350,9.316
1975,47097,22.962,3765,9.563
1976,47097,23.668,4214,10.187
1977,47097,24.162,4567,10.433
1978,47097,24.423,5056,10.37
1979,47097,24.651,5672,10.902
1980,47097,24.502,5934,10.076
1969,47099,29.07,2379,10.99
1970,47099,29.237,2505,11.004
1971,47099,29.939,2745,11.385
1972,47099,30.602,3203,12.667
1973,47099,30.823,3668,13.622
1974,47099,32.018,4046,14.203
1975,47099,32.333,4323,13.239
1976,47099,32.705,4866,13.821
1977,47099,33.468,5315,14.664
1978,47099,33.799,6146,15.595
1979,47099,33.962,6968,15.905
1980,47099,34.183,7357,15.498
1969,47101,6.729,2309,2.728
1970,47101,6.785,2408,2.538
1971,47101,6.969,2572,2.739
1972,47101,7.577,2734,2.99
1973,47101,7.917,2947,3.153
1974,47101,7.841,3240,3.041
1975,47101,8.341,3453,3.129
1976,47101,8.709,3937,3.675
1977,47101,9.238,4179,4.086
1978,47101,9.222,4628,3.996
1979,47101,9.513,4730,3.569
1980,47101,9.748,4985,3.51
1969,47103,24.333,2547,10.516
1970,47103,24.477,2754,10.394
1971,47103,25.377,3022,10.902
1972,47103,26.394,3251,11.718
1973,47103,25.806,3871,12.056
1974,47103,25.842,4126,12.084
1975,47103,26.239,4226,11.115
1976,47103,26.204,4894,11.561
1977,47103,26.623,5151,11.985
1978,47103,26.632,5798,11.324
1979,47103,26.519,6675,11.936
1980,47103,26.477,7325,11.88
1969,47105,24.275,2643,8.423
1970,47105,24.296,2858,8.635
1971,47105,24.585,3056,8.327
1972,47105,25.03,3231,8.247
1973,47105,25.723,3631,8.403
1974,47105,26.324,3980,8.445
1975,47105,26.565,4628,9.223
1976,47105,27.004,5292,9.913
1977,47105,27.256,5686,10.11
1978,47105,27.75,6395,10.14
1979,47105,28.085,7082,10.385
1980,47105,28.71,7846,10.151
1969,47107,35.376,2658,17.037
1970,47107,35.545,2791,16.36
1971,47107,36.174,2959,16.664
1972,47107,37.526,3170,17.252
1973,47107,38.353,3596,18.687
1974,47107,38.915,3796,17.908
1975,47107,39.665,4207,17.587
1976,47107,40.74,4670,18.523
1977,47107,40.515,5191,19.957
1978,47107,40.669,5934,20.787
1979,47107,41.236,6571,20.852
1980,47107,42.016,7071,20.273
1969,47109,18.384,2034,6.675
1970,47109,18.462,2305,6.769
1971,47109,19.005,2531,7.07
1972,47109,20.174,2814,8.199
1973,47109,20.243,3365,8.718
1974,47109,20.27,3483,8.926
1975,47109,20.626,3891,8.455
1976,47109,20.932,4414,8.93
1977,47109,21.385,4764,9.075
1978,47109,21.82,5287,9.046
1979,47109,22.379,5769,8.802
1980,47109,22.565,6183,8.934
1969,47111,12.336,2470,5.959
1970,47111,12.343,2685,5.972
1971,47111,12.452,2833,5.959
1972,47111,12.643,3039,5.87
1973,47111,12.82,3543,6.228
1974,47111,13.15,3952,6.68
1975,47111,13.391,4251,6.381
1976,47111,14.153,4840,6.605
1977,47111,14.572,5157,6.698
1978,47111,14.924,5906,6.891
1979,47111,15.251,6105,6.571
1980,47111,15.785,6346,6.3
1969,47113,65.402,2793,30.768
1970,47113,66.093,3074,31.693
1971,47113,67.684,3337,32.234
1972,47113,69.59,3614,34.343
1973,47113,69.932,4078,36.233
1974,47113,70.738,4579,38.034
1975,47113,71.168,5032,37.016
1976,47113,71.557,5526,37.82
1977,47113,72.117,6131,39.297
1978,47113,71.876,6697,39.946
1979,47113,73.517,7215,40.762
1980,47113,74.833,7698,40.125
1969,47115,20.672,2318,4.826
1970,47115,20.647,2514,4.939
1971,47115,21.114,2642,4.948
1972,47115,21.614,2930,5.381
1973,47115,22.317,3341,5.789
1974,47115,22.441,3779,5.952
1975,47115,22.65,4451,6.207
1976,47115,23.14,5042,6.481
1977,47115,23.66,5531,6.785
1978,47115,24.151,6187,7.171
1979,47115,23.986,6730,6.997
1980,47115,24.462,7208,6.817
1969,47117,17.318,2794,9.176
1970,47117,17.324,3047,9.142
1971,47117,17.468,3256,9.122
1972,47117,17.591,3684,9.786
1973,47117,18.035,4200,10.598
1974,47117,18.23,4454,10.429
1975,47117,18.5,4539,9.507
1976,47117,18.631,5241,10.153
1977,47117,18.961,5620,10.506
1978,47117,19.129,6777,11.629
1979,47117,19.39,7355,11.843
1980,47117,19.725,7535,10.847
1969,47119,43.913,2960,21.457
1970,47119,43.912,3176,21.197
1971,47119,43.926,3223,20.185
1972,47119,44.55,3537,20.737
1973,47119,45.737,3950,21.381
1974,47119,46.381,4756,23.65
1975,47119,47.343,5028,23.308
1976,47119,48.252,5628,24.571
1977,47119,49.714,5894,25.469
1978,47119,50.415,6745,26.532
1979,47119,50.754,7422,26.577
1980,47119,51.187,7751,25.109
1969,47121,5.22,2111,1.332
1970,47121,5.251,2326,1.414
1971,47121,5.359,2446,1.427
1972,47121,5.371,2926,1.639
1973,47121,5.531,3453,1.728
1974,47121,5.829,3600,1.679
1975,47121,6.046,4247,1.728
1976,47121,6.224,5049,1.802
1977,47121,6.678,5197,1.892
1978,47121,6.813,6292,2.022
1979,47121,6.869,7203,2.077
1980,47121,7.447,6862,1.973
1969,47123,23.518,2203,7.858
1970,47123,23.563,2351,8.191
1971,47123,24.075,2524,8.155
1972,47123,24.537,2776,8.356
1973,47123,25.124,3089,8.411
1974,47123,25.266,3305,8.273
1975,47123,25.89,3643,8.533
1976,47123,26.295,4368,9.386
1977,47123,27.238,4367,9.372
1978,47123,27.889,4880,9.582
1979,47123,28.207,5498,9.496
1980,47123,28.766,5953,9.421
1969,47125,62.116,3572,21.007
1970,47125,62.933,3802,19.906
1971,47125,64.234,4222,19.985
1972,47125,62.993,4642,21.589
1973,47125,70.321,5299,23.38
1974,47125,72.638,5790,24.466
1975,47125,72.757,6070,23.977
1976,47125,76.537,6479,25.026
1977,47125,80.959,6692,25.947
1978,47125,79.955,7502,27.12
1979,47125,82.874,8001,27.913
1980,47125,83.666,8321,27.59
1969,47127,3.56,2554,1.371
1970,47127,3.592,2707,1.316
1971,47127,3.734,2658,1.311
1972,47127,3.83,2954,1.371
1973,47127,3.558,3699,1.468
1974,47127,3.548,4070,1.498
1975,47127,3.98,4050,1.534
1976,47127,3.955,5061,1.643
1977,47127,4.091,5221,1.723
1978,47127,4.124,6152,1.761
1979,47127,4.269,6503,1.78
1980,47127,4.519,6997,1.979
1969,47129,13.718,1775,2.778
1970,47129,13.706,1948,2.868
1971,47129,14.214,2049,2.843
1972,47129,14.244,2188,2.847
1973,47129,14.449,2462,3.021
1974,47129,14.599,2757,3.102
1975,47129,14.761,3315,3.115
1976,47129,15.084,3631,3.12
1977,47129,16.051,3976,3.326
1978,47129,16.274,4436,3.422
1979,47129,16.266,5226,3.636
1980,47129,16.742,5566,3.708
1969,47131,29.716,2602,15.178
1970,47131,30.337,3148,17.057
1971,47131,30.8,3352,17.598
1972,47131,31.126,3763,17.758
1973,47131,32.061,4323,18.767
1974,47131,32.285,4497,18.693
1975,47131,32.643,4747,17.8
1976,47131,32.881,5102,17.49
1977,47131,33.319,5684,18.568
1978,47131,33.444,6311,18.763
1979,47131,33.639,6647,17.923
1980,47131,32.826,7210,18.23
1969,47133,14.884,1836,5.227
1970,47133,14.943,2018,5.173
1971,47133,15.327,2109,5.337
1972,47133,15.842,2354,5.53
1973,47133,15.832,2688,5.758
1974,47133,15.654,2972,5.954
1975,47133,16.062,3228,5.848
1976,47133,16.628,3545,6.148
1977,47133,16.892,3627,6.038
1978,47133,17.272,4140,6.316
1979,47133,17.405,4690,6.363
1980,47133,17.569,4937,6.114
1969,47135,5.244,2139,1.87
1970,47135,5.287,2416,1.883
1971,47135,5.504,2594,1.991
1972,47135,5.607,2874,2.151
1973,47135,5.674,3316,2.193
1974,47135,5.703,3645,2.339
1975,47135,5.843,3778,1.984
1976,47135,5.945,4277,2.017
1977,47135,6.104,4431,2.232
1978,47135,6.056,5185,2.185
1979,47135,6.094,6004,2.194
1980,47135,6.13,6367,2.236
1969,47137,3.845,1998,1.669
1970,47137,3.737,2296,1.578
1971,47137,3.626,2502,1.332
1972,47137,4.06,2715,1.761
1973,47137,4.184,2914,1.894
1974,47137,4.242,2943,1.812
1975,47137,4.242,2984,1.839
1976,47137,4.342,3310,1.996
1977,47137,4.294,3624,2.036
1978,47137,4.341,3948,1.958
1979,47137,4.393,4222,1.937
1980,47137,4.375,4627,1.854
1969,47139,11.747,2602,4.929
1970,47139,11.707,2854,4.64
1971,47139,11.934,3043,4.495
1972,47139,12.229,3328,4.782
1973,47139,12.117,3973,4.97
1974,47139,12.23,4096,5.091
1975,47139,12.395,4661,5.34
1976,47139,12.7,4821,4.714
1977,47139,13.014,4855,4.361
1978,47139,13.26,5443,4.797
1979,47139,13.258,6005,4.71
1980,47139,13.639,6620,4.517
1969,47141,34.94,2393,15.247
1970,47141,35.685,2596,15.592
1971,47141,36.968,2774,16.067
1972,47141,38.498,2998,16.963
1973,47141,39.55,3385,18.185
1974,47141,41.147,3759,18.928
1975,47141,41.85,4132,18.41
1976,47141,42.803,4554,19.705
1977,47141,43.904,4907,20.818
1978,47141,44.856,5741,22.637
1979,47141,46.216,6349,23.703
1980,47141,47.905,6906,23.356
1969,47143,17.116,2242,6.177
1970,47143,17.29,2458,6.121
1971,47143,17.722,2614,6.051
1972,47143,18.465,2989,7
1973,47143,19.375,4280,8.548
1974,47143,20.14,5104,9.664
1975,47143,20.605,5824,10.346
1976,47143,21.497,6793,11.63
1977,47143,22.115,7864,12.291
1978,47143,22.654,8666,13.398
1979,47143,23.433,8350,13.29
1980,47143,24.267,8467,12.916
1969,47145,38.992,2814,21.308
1970,47145,38.958,2961,21.439
1971,47145,39.828,3205,21.765
1972,47145,40.919,3424,21.601
1973,47145,41.6,3671,21.857
1974,47145,41.35,4130,20.802
1975,47145,42.358,4933,21.409
1976,47145,43.39,5754,23.128
1977,47145,45.66,6238,23.823
1978,47145,46.757,7079,24.331
1979,47145,47.607,8103,24.542
1980,47145,48.492,8603,23.669
1969,47147,28.995,2859,10.759
1970,47147,29.261,2969,10.936
1971,47147,30.312,3130,10.874
1972,47147,32.102,3384,11.74
1973,47147,32.25,3946,12.092
1974,47147,32.66,4219,12.375
1975,47147,33.145,4382,12.48
1976,47147,33.742,4863,13.265
1977,47147,34.924,5721,13.381
1978,47147,35.181,6349,13.78
1979,47147,36.031,6722,13.675
1980,47147,37.12,7139,13.255
1969,47149,58.753,3135,27.277
1970,47149,58.702,2859,23.606
1971,47149,56.254,3240,23.372
1972,47149,62.648,3492,25.899
1973,47149,64.821,4085,28.434
1974,47149,67.605,4387,28.534
1975,47149,68.807,4862,27.893
1976,47149,70.832,5515,29.601
1977,47149,76.284,5843,31.415
1978,47149,78.778,6558,33.107
1979,47149,81.234,7455,34.735
1980,47149,84.747,8128,34.963
1969,47151,14.865,1773,4.504
1970,47151,14.82,1945,4.301
1971,47151,15.282,2143,4.401
1972,47151,16.103,2370,4.669
1973,47151,16.142,2661,4.777
1974,47151,16.328,2856,4.408
1975,47151,17.374,3295,4.532
1976,47151,18.074,3475,4.75
1977,47151,18.583,4039,5.288
1978,47151,19.186,4672,5.796
1979,47151,19.208,5197,5.99
1980,47151,19.305,5630,5.975
1969,47153,6.307,2314,2.023
1970,47153,6.381,2265,1.681
1971,47153,6.642,2530,1.89
1972,47153,6.971,2848,2.251
1973,47153,6.955,3374,2.456
1974,47153,7.182,3563,2.42
1975,47153,7.466,3962,2.413
1976,47153,7.697,4501,2.599
1977,47153,8.09,4826,2.729
1978,47153,8.334,5347,2.687
1979,47153,8.239,5842,2.399
1980,47153,8.618,6165,2.325
1969,47155,27.87,2593,10.629
1970,47155,28.493,2733,10.914
1971,47155,29.899,2956,11.819
1972,47155,31.512,3234,12.247
1973,47155,32.438,3687,13.403
1974,47155,32.764,4093,13.874
1975,47155,34.558,4381,14.001
1976,47155,36.412,5019,15.518
1977,47155,37.588,5485,16.909
1978,47155,39.006,6309,18.396
1979,47155,40.135,6771,18.271
1980,47155,41.7,7423,18.876
1969,47157,714.258,3493,352.994
1970,47157,723.78,3762,350.332
1971,47157,733.505,4158,363.804
1972,47157,741.128,4650,386.972
1973,47157,734.589,5162,401.102
1974,47157,742.135,5691,409.215
1975,47157,742.293,6174,398.452
1976,47157,747.321,6636,399.952
1977,47157,751.585,7222,413.462
1978,47157,757.969,8073,431.628
1979,47157,768.731,8860,442.584
1980,47157,776.572,9771,442.359
1969,47159,12.498,2520,5.775
1970,47159,12.658,2623,5.793
1971,47159,13.419,2727,5.774
1972,47159,13.598,3029,6.019
1973,47159,13.744,3409,5.948
1974,47159,13.761,3749,5.854
1975,47159,13.911,4076,5.817
1976,47159,13.936,5101,6.289
1977,47159,14.038,5632,6.649
1978,47159,14.612,6220,6.601
1979,47159,14.512,6766,6.294
1980,47159,14.924,7579,6.78
1969,47161,7.376,2830,3.927
1970,47161,7.37,3650,4.919
1971,47161,7.558,3996,4.816
1972,47161,7.84,3558,3.803
1973,47161,7.825,3606,2.997
1974,47161,7.653,4007,2.932
1975,47161,8.039,4176,2.943
1976,47161,8.276,4542,3.011
1977,47161,8.71,5027,3.238
1978,47161,8.855,5298,3.091
1979,47161,8.816,6095,3.573
1980,47161,8.673,6648,3.926
1969,47163,126.286,3321,68.76
1970,47163,127.454,3542,66.86
1971,47163,128.704,3744,65.894
1972,47163,128.24,4131,66.702
1973,47163,131.673,4423,68.282
1974,47163,134.301,4881,70.798
1975,47163,135.515,5298,69.799
1976,47163,137.803,5797,72.588
1977,47163,138.697,6450,76.351
1978,47163,140.559,7173,79.462
1979,47163,142.224,7761,79.395
1980,47163,144.297,8364,78.362
1969,47165,53.709,3347,17.169
1970,47165,56.733,3344,17.606
1971,47165,59.469,3518,18.408
1972,47165,63.817,3856,21.006
1973,47165,67.216,4301,22.662
1974,47165,71.443,4592,23.998
1975,47165,74.197,4811,23.374
1976,47165,76.458,5438,24.863
1977,47165,78.963,6127,26.497
1978,47165,82.765,7026,28.177
1979,47165,84.69,7831,28.9
1980,47165,86.22,8658,29.156
1969,47167,28.131,2354,8.622
1970,47167,27.902,2693,8.494
1971,47167,27.814,3085,8.715
1972,47167,28.537,3551,9.37
1973,47167,29.368,4148,10.347
1974,47167,30.104,4243,9.989
1975,47167,31.762,4505,8.766
1976,47167,32.243,4778,8.601
1977,47167,32.937,5027,8.712
1978,47167,32.783,5810,9.055
1979,47167,32.989,6589,9.863
1980,47167,33.009,7372,10.005
1969,47169,5.143,2836,3.489
1970,47169,5.18,2865,3.5
1971,47169,5.344,2868,3.652
1972,47169,5.31,3419,3.647
1973,47169,5.29,4000,3.685
1974,47169,5.226,4566,3.78
1975,47169,5.335,4686,3.88
1976,47169,5.427,6203,4.907
1977,47169,5.339,7475,7.814
1978,47169,5.659,8956,9.5
1979,47169,5.923,9239,9.516
1980,47169,6.127,9002,8.87
1969,47171,15.276,2584,4.793
1970,47171,15.332,2745,4.584
1971,47171,15.785,2806,4.515
1972,47171,15.731,3191,4.999
1973,47171,15.681,3618,5.302
1974,47171,15.631,3963,5.281
1975,47171,15.92,4114,4.818
1976,47171,16.147,4477,4.989
1977,47171,16.407,4829,5.17
1978,47171,16.236,5470,5.228
1979,47171,16.466,6017,5.375
1980,47171,16.415,6906,5.599
1969,47173,9.033,1955,1.582
1970,47173,9.231,2057,1.551
1971,47173,9.848,2173,1.74
1972,47173,10.159,2406,1.823
1973,47173,9.702,2952,2.013
1974,47173,10.028,3095,1.934
1975,47173,10.254,3286,2.021
1976,47173,10.584,3841,2.161
1977,47173,11.464,3825,2.29
1978,47173,11.434,4512,2.487
1979,47173,11.577,5018,2.471
1980,47173,11.769,5615,2.421
1969,47175,3.754,1858,1.418
1970,47175,3.764,1884,1.167
1971,47175,3.848,2024,1.14
1972,47175,3.789,2409,1.116
1973,47175,3.988,2721,1.201
1974,47175,4.149,3034,1.223
1975,47175,4.236,3313,1.169
1976,47175,4.364,3758,1.195
1977,47175,4.453,4026,1.234
1978,47175,4.484,4758,1.234
1979,47175,4.634,5218,1.299
1980,47175,4.744,5829,1.39
1969,47177,26.657,2588,14.074
1970,47177,27.099,2901,14.585
1971,47177,27.777,3032,14.515
1972,47177,28.369,3480,16.02
1973,47177,29.051,3924,17.2
1974,47177,29.881,4194,17.507
1975,47177,29.866,4345,15.76
1976,47177,30.07,5146,17.046
1977,47177,30.792,5366,17.904
1978,47177,31.413,6066,17.834
1979,47177,31.967,6404,17.603
1980,47177,32.652,7431,17.094
1969,47179,73.201,2975,33.392
1970,47179,74.228,3282,34.952
1971,47179,76.002,3587,36.739
1972,47179,78.498,3908,38.849
1973,47179,79.412,4379,41.529
1974,47179,80.614,4820,43.077
1975,47179,81.901,5045,39.338
1976,47179,84.983,5381,40.08
1977,47179,84.293,5997,42.352
1978,47179,85.02,6824,44.787
1979,47179,87.402,7462,46.254
1980,47179,89.11,8232,47.36
1969,47181,12.352,2024,4.433
1970,47181,12.403,2277,4.705
1971,47181,12.64,2497,4.938
1972,47181,12.687,2800,4.988
1973,47181,13,3153,5.082
1974,47181,13.106,3471,5.018
1975,47181,13.477,3492,4.159
1976,47181,13.123,4144,4.382
1977,47181,13.663,4434,4.426
1978,47181,13.79,5282,4.575
1979,47181,13.787,6025,4.592
1980,47181,13.979,6422,4.326
1969,47183,28.453,2579,12.839
1970,47183,28.981,2811,12.786
1971,47183,29.858,3006,12.754
1972,47183,30.431,3347,13.293
1973,47183,31.15,3753,13.776
1974,47183,31.498,4059,13.964
1975,47183,31.204,4431,13.274
1976,47183,31.561,4796,13.497
1977,47183,32.098,5189,13.781
1978,47183,32.089,5828,13.828
1979,47183,32.378,6527,13.59
1980,47183,32.949,6700,13.6
1969,47185,16.321,2435,7.521
1970,47185,16.352,2458,7.098
1971,47185,16.566,2499,6.702
1972,47185,16.937,2838,7.301
1973,47185,17.232,3307,7.883
1974,47185,17.752,3766,8.323
1975,47185,18.092,4091,7.948
1976,47185,18.368,4680,8.183
1977,47185,18.9,4840,8.435
1978,47185,19.649,5711,9.254
1979,47185,19.71,6293,9.023
1980,47185,19.64,7148,9.316
1969,47187,33.487,3615,11.555
1970,47187,34.654,3687,12.773
1971,47187,35.926,4042,13.177
1972,47187,38.515,4421,14.488
1973,47187,41.696,4925,15.085
1974,47187,43.472,5481,15.375
1975,47187,45.905,5880,15.824
1976,47187,48.443,6700,16.839
1977,47187,50.604,7538,17.963
1978,47187,53.008,8835,19.24
1979,47187,55.402,10003,20.538
1980,47187,58.505,11144,22.619
1969,47189,36.036,3242,14.313
1970,47189,37.273,3290,14.436
1971,47189,38.976,3549,15.019
1972,47189,40.623,4029,16.35
1973,47189,42.709,4534,17.559
1974,47189,44.711,4885,17.448
1975,47189,46.736,5076,16.739
1976,47189,47.776,5802,17.687
1977,47189,50.594,6227,18.309
1978,47189,52.702,7023,19.274
1979,47189,55.46,7925,20.158
1980,47189,56.206,8816,19.931
1969,48000,11045,3493,5005.193
1970,48000,11236.772,3782,5045.435
1971,48000,11509.64,4007,5123.138
1972,48000,11758.76,4352,5333.823
1973,48000,12018.97,4835,5608.047
1974,48000,12267.865,5342,5822.056
1975,48000,12568.182,5947,5938.33
1976,48000,12903.268,6528,6206.757
1977,48000,13191.79,7124,6520.814
1978,48000,13497.726,8023,6900.142
1979,48000,13887.312,8978,7214.707
1980,48000,14338.208,9983,7495.945
1969,48001,28.708,2629,11.234
1970,48001,28.012,2918,10.858
1971,48001,29.457,3038,10.501
1972,48001,30.684,3138,10.545
1973,48001,30.649,3642,10.877
1974,48001,30.901,4159,11.565
1975,48001,32.149,4728,12.562
1976,48001,33.462,5062,12.676
1977,48001,34.76,5457,13.325
1978,48001,36.546,5993,13.993
1979,48001,37.968,6527,14.445
1980,48001,38.874,7426,15.05
1969,48003,9.307,4011,4.507
1970,48003,10.45,3887,4.737
1971,48003,10.993,4356,4.683
1972,48003,11.146,3892,4.317
1973,48003,10.582,4793,4.655
1974,48003,10.751,5562,5.089
1975,48003,11.676,6203,5.485
1976,48003,11.885,6947,5.369
1977,48003,12.021,7931,6.182
1978,48003,12.418,8382,6.07
1979,48003,12.792,9011,6.131
1980,48003,13.482,9786,6.594
1969,48005,48.122,3064,20.929
1970,48005,49.644,3279,20.948
1971,48005,51.541,3495,21.585
1972,48005,53.112,3870,23.106
1973,48005,54.248,4205,23.93
1974,48005,54.634,4759,24.81
1975,48005,55.932,5327,25.473
1976,48005,57.36,5866,26.911
1977,48005,58.449,6490,28.538
1978,48005,60.444,7369,30.624
1979,48005,61.997,8155,32.215
1980,48005,64.558,8657,32.454
1969,48007,8.661,3431,3.835
1970,48007,9.016,3791,3.699
1971,48007,9.733,4183,4.098
1972,48007,10.356,4257,3.947
1973,48007,10.586,4755,4.204
1974,48007,10.84,5490,4.308
1975,48007,11.3,6097,4.463
1976,48007,11.695,6990,4.571
1977,48007,12.285,7839,4.98
1978,48007,13.183,8388,5.466
1979,48007,13.985,9193,5.872
1980,48007,14.398,9870,5.706
1969,48009,6.019,3674,2.688
1970,48009,5.743,4246,2.823
1971,48009,5.711,4494,2.801
1972,48009,5.834,4293,2.7
1973,48009,6.084,5201,2.706
1974,48009,6.111,6520,2.826
1975,48009,6.329,6763,2.873
1976,48009,6.385,7615,2.836
1977,48009,6.546,7841,3.021
1978,48009,6.704,8428,3.091
1979,48009,7.012,9241,3.294
1980,48009,7.324,9978,3.451
1969,48011,1.847,4299,1
1970,48011,1.875,3777,1.006
1971,48011,1.85,5443,1.008
1972,48011,1.731,6092,1.101
1973,48011,1.895,8802,1.014
1974,48011,1.744,7974,1.095
1975,48011,1.813,11104,1.059
1976,48011,1.91,8386,0.97
1977,48011,1.867,9156,0.937
1978,48011,1.882,9037,0.909
1979,48011,1.915,13160,0.934
1980,48011,1.997,11718,0.932
1969,48013,18.529,2839,6.439
1970,48013,18.684,3036,6.456
1971,48013,19.165,3265,6.69
1972,48013,20.01,3534,6.622
1973,48013,21.089,3671,6.57
1974,48013,21.221,4119,6.678
1975,48013,21.654,4734,7.012
1976,48013,22.024,5045,7.302
1977,48013,22.755,5525,8.119
1978,48013,23.519,6277,8.795
1979,48013,24.474,6716,8.917
1980,48013,25.177,7352,9.062
1969,48015,13.497,2852,5.612
1970,48015,13.855,3259,5.794
1971,48015,14.165,3701,5.805
1972,48015,14.118,4239,5.915
1973,48015,14.592,4421,5.852
1974,48015,14.682,5213,5.922
1975,48015,15.011,5943,6.544
1976,48015,15.186,6724,6.776
1977,48015,15.711,7051,7.196
1978,48015,16.226,8011,7.796
1979,48015,17.048,8981,8.216
1980,48015,17.863,9833,8.326
1969,48017,8.781,3161,4.196
1970,48017,8.444,3558,4.004
1971,48017,8.362,2752,3.876
1972,48017,8.685,3499,3.99
1973,48017,8.612,5495,3.861
1974,48017,8.532,4762,3.954
1975,48017,8.557,4872,3.856
1976,48017,8.342,4639,3.673
1977,48017,8.169,4999,3.657
1978,48017,8.035,6530,3.646
1979,48017,8.117,8228,3.677
1980,48017,8.201,7839,3.786
